AF코드,AF코드이름,비용출처,광고유형,캠페인,하위캠페인,디바이스,채널,매체명,상품명,브랜드/기획전,기획전 번호,부서명,키워드(소재),기간,노출수
4BNS,M네이버브랜드검색_BNS썸네일1,거래액확대,SA,매출,매출,Mobile,브랜드검색,네이버,M썸네일1,바앤쉬,없음,마케팅본부,-,20220510,0
4BNS,M네이버브랜드검색_BNS썸네일1,거래액확대,SA,매출,매출,Mobile,브랜드검색,네이버,M썸네일1,바앤쉬,없음,마케팅본부,-,20220509,0
5000,네이버(브랜드검색),거래액확대,SA,매출,매출,PC,브랜드검색,네이버,-,LFmall,없음,e-마케팅,-,20220515,0
5000,네이버(브랜드검색),거래액확대,SA,매출,매출,PC,브랜드검색,네이버,-,LFmall,없음,e-마케팅,-,20220514,0
5000,네이버(브랜드검색),거래액확대,SA,매출,매출,PC,브랜드검색,네이버,-,LFmall,없음,e-마케팅,-,20220513,0
5000,네이버(브랜드검색),거래액확대,SA,매출,매출,PC,브랜드검색,네이버,-,LFmall,없음,e-마케팅,-,20220512,0
5000,네이버(브랜드검색),거래액확대,SA,매출,매출,PC,브랜드검색,네이버,-,LFmall,없음,e-마케팅,-,20220511,0
5000,네이버(브랜드검색),거래액확대,SA,매출,매출,PC,브랜드검색,네이버,-,LFmall,없음,e-마케팅,-,20220510,0
5000,네이버(브랜드검색),거래액확대,SA,매출,매출,PC,브랜드검색,네이버,-,LFmall,없음,e-마케팅,-,20220509,0
50002,네이버(브랜드검색)_2,거래액확대,SA,매출,매출,PC,브랜드검색,네이버,-,LFmall,없음,e-마케팅,-,20220514,0
50002,네이버(브랜드검색)_2,거래액확대,SA,매출,매출,PC,브랜드검색,네이버,-,LFmall,없음,e-마케팅,-,20220509,0
5001,네이버(브랜드검색_닥스),거래액확대,SA,매출,매출,PC,브랜드검색,네이버,P메인이미지,닥스,없음,e-마케팅,-,20220515,0
5001,네이버(브랜드검색_닥스),거래액확대,SA,매출,매출,PC,브랜드검색,네이버,P메인이미지,닥스,없음,e-마케팅,-,20220514,0
5001,네이버(브랜드검색_닥스),거래액확대,SA,매출,매출,PC,브랜드검색,네이버,P메인이미지,닥스,없음,e-마케팅,-,20220513,0
5001,네이버(브랜드검색_닥스),거래액확대,SA,매출,매출,PC,브랜드검색,네이버,P메인이미지,닥스,없음,e-마케팅,-,20220512,0
5001,네이버(브랜드검색_닥스),거래액확대,SA,매출,매출,PC,브랜드검색,네이버,P메인이미지,닥스,없음,e-마케팅,-,20220511,1839
5001,네이버(브랜드검색_닥스),거래액확대,SA,매출,매출,PC,브랜드검색,네이버,P메인이미지,닥스,없음,e-마케팅,-,20220510,2056
5001,네이버(브랜드검색_닥스),거래액확대,SA,매출,매출,PC,브랜드검색,네이버,P메인이미지,닥스,없음,e-마케팅,-,20220509,2331
5002,네이버(브랜드검색_헤지스),거래액확대,SA,매출,매출,PC,브랜드검색,네이버,-,헤지스,없음,e-마케팅,-,20220514,0
5002,네이버(브랜드검색_헤지스),거래액확대,SA,매출,매출,PC,브랜드검색,네이버,-,헤지스,없음,e-마케팅,-,20220513,0
5002,네이버(브랜드검색_헤지스),거래액확대,SA,매출,매출,PC,브랜드검색,네이버,-,헤지스,없음,e-마케팅,-,20220512,0
5002,네이버(브랜드검색_헤지스),거래액확대,SA,매출,매출,PC,브랜드검색,네이버,-,헤지스,없음,e-마케팅,-,20220511,0
5002,네이버(브랜드검색_헤지스),거래액확대,SA,매출,매출,PC,브랜드검색,네이버,-,헤지스,없음,e-마케팅,-,20220510,0
5002,네이버(브랜드검색_헤지스),거래액확대,SA,매출,매출,PC,브랜드검색,네이버,-,헤지스,없음,e-마케팅,-,20220509,0
5004,네이버(브랜드검색_질스튜어트),거래액확대,SA,매출,매출,PC,브랜드검색,네이버,P메인이미지,질스튜어트,없음,e-마케팅,-,20220515,0
5004,네이버(브랜드검색_질스튜어트),거래액확대,SA,매출,매출,PC,브랜드검색,네이버,P메인이미지,질스튜어트,없음,e-마케팅,-,20220514,0
5004,네이버(브랜드검색_질스튜어트),거래액확대,SA,매출,매출,PC,브랜드검색,네이버,P메인이미지,질스튜어트,없음,e-마케팅,-,20220513,0
5004,네이버(브랜드검색_질스튜어트),거래액확대,SA,매출,매출,PC,브랜드검색,네이버,P메인이미지,질스튜어트,없음,e-마케팅,-,20220512,0
5004,네이버(브랜드검색_질스튜어트),거래액확대,SA,매출,매출,PC,브랜드검색,네이버,P메인이미지,질스튜어트,없음,e-마케팅,-,20220511,809
5004,네이버(브랜드검색_질스튜어트),거래액확대,SA,매출,매출,PC,브랜드검색,네이버,P메인이미지,질스튜어트,없음,e-마케팅,-,20220510,854
5004,네이버(브랜드검색_질스튜어트),거래액확대,SA,매출,매출,PC,브랜드검색,네이버,P메인이미지,질스튜어트,없음,e-마케팅,-,20220509,866
5006,W네이버브랜드검색_핏플랍,거래액확대,SA,매출,매출,PC,브랜드검색,네이버,P메인이미지,핏플랍,없음,e-마케팅,-,20220515,0
5006,W네이버브랜드검색_핏플랍,거래액확대,SA,매출,매출,PC,브랜드검색,네이버,P메인이미지,핏플랍,없음,e-마케팅,-,20220514,0
5006,W네이버브랜드검색_핏플랍,거래액확대,SA,매출,매출,PC,브랜드검색,네이버,P메인이미지,핏플랍,없음,e-마케팅,-,20220513,0
5006,W네이버브랜드검색_핏플랍,거래액확대,SA,매출,매출,PC,브랜드검색,네이버,P메인이미지,핏플랍,없음,e-마케팅,-,20220512,0
5006,W네이버브랜드검색_핏플랍,거래액확대,SA,매출,매출,PC,브랜드검색,네이버,P메인이미지,핏플랍,없음,e-마케팅,-,20220511,5708
5006,W네이버브랜드검색_핏플랍,거래액확대,SA,매출,매출,PC,브랜드검색,네이버,P메인이미지,핏플랍,없음,e-마케팅,-,20220510,1293
5006,W네이버브랜드검색_핏플랍,거래액확대,SA,매출,매출,PC,브랜드검색,네이버,P메인이미지,핏플랍,없음,e-마케팅,-,20220509,1135
500B,W네이버브랜드검색_타이틀,거래액확대,SA,매출,매출,PC,브랜드검색,네이버,-,LFmall,없음,e-마케팅,-,20220515,0
500B,W네이버브랜드검색_타이틀,거래액확대,SA,매출,매출,PC,브랜드검색,네이버,-,LFmall,없음,e-마케팅,-,20220514,0
500B,W네이버브랜드검색_타이틀,거래액확대,SA,매출,매출,PC,브랜드검색,네이버,-,LFmall,없음,e-마케팅,-,20220513,0
500B,W네이버브랜드검색_타이틀,거래액확대,SA,매출,매출,PC,브랜드검색,네이버,-,LFmall,없음,e-마케팅,-,20220512,0
500B,W네이버브랜드검색_타이틀,거래액확대,SA,매출,매출,PC,브랜드검색,네이버,-,LFmall,없음,e-마케팅,-,20220511,0
500B,W네이버브랜드검색_타이틀,거래액확대,SA,매출,매출,PC,브랜드검색,네이버,-,LFmall,없음,e-마케팅,-,20220510,0
500B,W네이버브랜드검색_타이틀,거래액확대,SA,매출,매출,PC,브랜드검색,네이버,-,LFmall,없음,e-마케팅,-,20220509,0
500B2,W네이버브랜드검색_타이틀_2,거래액확대,SA,매출,매출,PC,브랜드검색,네이버,-,LFmall,없음,e-마케팅,-,20220514,0
500B2,W네이버브랜드검색_타이틀_2,거래액확대,SA,매출,매출,PC,브랜드검색,네이버,-,LFmall,없음,e-마케팅,-,20220513,0
500B2,W네이버브랜드검색_타이틀_2,거래액확대,SA,매출,매출,PC,브랜드검색,네이버,-,LFmall,없음,e-마케팅,-,20220512,0
500B2,W네이버브랜드검색_타이틀_2,거래액확대,SA,매출,매출,PC,브랜드검색,네이버,-,LFmall,없음,e-마케팅,-,20220511,0
500B2,W네이버브랜드검색_타이틀_2,거래액확대,SA,매출,매출,PC,브랜드검색,네이버,-,LFmall,없음,e-마케팅,-,20220509,0
